Drug,Target
Efalizumab,C1QC
Efalizumab,FCGR2A
Choriogonadotropin alfa,LHCGR
Antithymocyte immunoglobulin (rabbit),CD1A
Antithymocyte immunoglobulin (rabbit),ITGB1
Antithymocyte immunoglobulin (rabbit),ITGAV
Antithymocyte immunoglobulin (rabbit),ITGB3
Coagulation Factor IX (Recombinant),F10
Coagulation Factor IX (Recombinant),F7
Coagulation Factor IX (Recombinant),LRP1
Becaplermin,PDGFRA
Octreotide,SSTR5
Octreotide,SSTR2
"Interferon Alfa-2b, Recombinant",IFNAR2
"Interferon Alfa-2b, Recombinant",IFNAR1
Oxytocin,OXTR
Oxytocin,OXT
Natalizumab,ITGA4
Natalizumab,C1R
Natalizumab,C1QB
Natalizumab,C1QC
Natalizumab,FCGR2A
Natalizumab,ICAM1
Palivizumab,C1R
Palivizumab,C1QB
Palivizumab,C1QC
Palivizumab,FCGR2A
Daclizumab,IL2RB
Daclizumab,C1R
Daclizumab,C1QB
Daclizumab,C1QC
Daclizumab,FCGR2A
Bevacizumab,VEGFA
Bevacizumab,C1R
Bevacizumab,C1QB
Bevacizumab,C1QC
Bevacizumab,FCGR2A
Pyridoxal Phosphate,NFS1
Pyridoxal Phosphate,PYGL
Pyridoxal Phosphate,PYGB
Pyridoxal Phosphate,PYGM
Pyruvic acid,PDHB
Pyruvic acid,PKM
L-Phenylalanine,TH
Biotin,ACACA
Choline,PCYT1A
Choline,PLD2
Choline,PLD1
Choline,CHRNA7
L-Arginine,NOS3
L-Arginine,ASS1
Vitamin C,EGLN2
Vitamin C,EGLN3
Spermine,CASR
Spermine,ADRB1
Spermine,ADRB2
L-Aspartic Acid,ASS1
L-Aspartic Acid,ASS1
Adenosine monophosphate,CREB1
Adenosine monophosphate,PIM1
Adenosine monophosphate,PDE4B
Adenosine monophosphate,PYGL
Adenosine monophosphate,PRKAB1
Adenosine monophosphate,PDE4D
Adenosine monophosphate,PRKAA1
Adenosine monophosphate,PRKAB2
Adenosine monophosphate,ADCY1
Adenosine monophosphate,ACSL1
Adenosine monophosphate,FBP1
Alpha-Linolenic Acid,FADS2
Alpha-Linolenic Acid,SLC8A1
Alpha-Linolenic Acid,TRPV1
Alpha-Linolenic Acid,PPARA
Alpha-Linolenic Acid,PPARD
Alpha-Linolenic Acid,PPARG
Alpha-Linolenic Acid,RXRA
L-Tyrosine,TH
Calcitriol,VDR
Glutamic Acid,GRM1
Glutamic Acid,GRM4
Glutamic Acid,GRM8
Glutamic Acid,GRIN2D
Glutamic Acid,GRIN3B
Glutamic Acid,GLS
Glutamic Acid,GRIN1
Glutamic Acid,GRIN2A
Glutamic Acid,GRIN2B
Glutamic Acid,GRIN2C
Glutamic Acid,GRIN3A
Glutamic Acid,GLS2
Glutamic Acid,GRIA1
Glutamic Acid,GRIA2
Glutamic Acid,GRIA4
Glutathione,MGST3
Glutathione,GSTM5
Glutathione,GSTO2
Glutathione,GSTM1
Glutathione,GSTA4
Glutathione,GSTM4
Glutathione,GSTP1
Glutathione,GSTO1
Phosphatidyl serine,PRKCA
Glycine,GRIN2A
Glycine,GRIN2C
Glycine,GRIN3B
Calcidiol,VDR
L-Cysteine,NFS1
Ergocalciferol,VDR
Dihomo-gamma-linolenic acid,PTGS1
Dihomo-gamma-linolenic acid,PTGS2
L-Citrulline,ASS1
L-Citrulline,ASS1
L-Citrulline,NOS1
L-Citrulline,NOS3
NADH,LDHAL6A
NADH,LDHA
NADH,LDHC
NADH,LDHB
NADH,EHHADH
NADH,HMGCR
NADH,ME1
NADH,HSD17B8
NADH,GAPDH
NADH,PDHB
NADH,NDUFS7
NADH,NDUFA11
NADH,NDUFA9
NADH,NDUFA10
NADH,NDUFA7
NADH,NDUFA4
NADH,NDUFA6
NADH,NDUFAB1
NADH,NDUFA2
NADH,NDUFA8
NADH,NDUFA3
NADH,NDUFB1
NADH,NDUFS1
NADH,NDUFB10
NADH,NDUFB3
NADH,NDUFB2
NADH,NDUFB7
NADH,NDUFB9
NADH,NDUFS2
NADH,NDUFB5
NADH,NDUFC1
NADH,NDUFB6
NADH,NDUFV3
NADH,NDUFS3
NADH,NDUFA12
NADH,NDUFS5
NADH,NDUFV1
NADH,NDUFV2
NADH,NDUFA13
NADH,NDUFS6
NADH,NDUFA4L2
NADH,NDUFS8
NADH,HMOX1
NADH,CYP17A1
Icosapent,PTGS2
Icosapent,PTGS1
Icosapent,PPARG
Icosapent,PPARD
Icosapent,ACSL3
Icosapent,FFAR1
Icosapent,SLC8A1
Icosapent,TRPV1
Icosapent,PPARA
L-Alanine,NFS1
Vitamin E,PRKCB
Vitamin E,PRKCA
Vitamin E,PPP2CB
Vitamin E,PPP2CA
Aspartame,TRPV1
Aspartame,TAS1R2
Aspartame,TAS1R3
Cholecalciferol,VDR
Menadione,F7
Menadione,F10
Menadione,PROC
Menadione,NQO1
Menadione,BGLAP
ATP,ABL2
ATP,ABCA1
ATP,ALK
ATP,NAE1
ATP,PRKAA1
ATP,ACVRL1
ATP,ACSL1
ATP,AKT1
ATP,GRK2
ATP,APAF1
ATP,ACVR1B
ATP,ACVR1
ATP,SLC25A4
ATP,ABCC8
ATP,ASS1
ATP,GRK3
ATP,ABL1
ATP,ADCY1
ATP,ABCC1
ATP,CFTR
ATP,PIK3CA
ATP,CSNK2B
L-Proline,PPIF
Adenine,ACP1
L-Asparagine,SLC1A5
Pravastatin,HMGCR
Valsartan,AGTR1
Baclofen,GABBR1
Baclofen,GABBR2
Amphetamine,SLC6A3
Amphetamine,ADRA1A
Amphetamine,ADRA1B
Amphetamine,ADRA1D
Amphetamine,ADRA2A
Amphetamine,ADRA2B
Amphetamine,ADRA2C
Amphetamine,ADRB1
Amphetamine,ADRB2
Amphetamine,DRD2
Pentagastrin,CCKBR
Nicotine,CHRNA4
Nicotine,CHRNA7
Nicotine,CHRNB2
Nicotine,CHRNA3
Cevimeline,CHRM3
Cevimeline,CHRM1
Lorazepam,GABRA1
Lorazepam,GABRA2
Lorazepam,GABRA4
Lorazepam,GABRA5
Lorazepam,GABRB1
Lorazepam,GABRB2
Lorazepam,GABRB3
Lorazepam,GABRD
Lorazepam,GABRG3
Lorazepam,GABRP
Lorazepam,TSPO
Esmolol,ADRB1
Ethchlorvynol,GABRA1
Ethchlorvynol,GABRA2
Ethchlorvynol,GABRA4
Ethchlorvynol,GABRA5
Ethchlorvynol,GABRB1
Ethchlorvynol,GABRB2
Ethchlorvynol,GABRB3
Ethchlorvynol,GABRD
Ethchlorvynol,GABRG3
Ethchlorvynol,GABRP
Phentermine,SLC6A3
Indecainide,SCN5A
Tramadol,OPRK1
Tramadol,OPRD1
Tramadol,GRIN3A
Tramadol,CHRM3
Tramadol,CHRM1
Betaxolol,ADRB1
Betaxolol,ADRB2
Troglitazone,PPARG
Troglitazone,SERPINE1
Troglitazone,PPARD
Troglitazone,PPARA
Troglitazone,GSTP1
Caffeine,ADORA2A
Caffeine,PDE4B
Caffeine,RYR1
Caffeine,PDE1B
Caffeine,PDE1C
Caffeine,PDE10A
Caffeine,PDE4A
Caffeine,PDE4B
Caffeine,PDE4C
Caffeine,PDE4D
Caffeine,PDE3A
Caffeine,PDE3B
Caffeine,PDE6B
Caffeine,PRKDC
Caffeine,PIK3CD
Caffeine,PIK3CA
Caffeine,ITPR1
Caffeine,ITPR2
Caffeine,ITPR3
Caffeine,ATM
Succinylcholine,CHRM1
Succinylcholine,CHRM3
Sildenafil,PDE6G
Dofetilide,KCNK2
Dofetilide,KCNJ12
Reserpine,BIRC5
Trospium,CHRM1
Adapalene,RARB
Adapalene,RXRG
Adapalene,RXRB
Adapalene,RARA
Adapalene,RXRA
Adapalene,PTGS2
Midodrine,ADRA1A
Midodrine,ADRA1B
Midodrine,ADRA1D
Citalopram,HRH1
Citalopram,ADRA1A
Citalopram,CHRM1
Eletriptan,HTR1B
Eletriptan,HTR1F
Eletriptan,HTR1A
Eletriptan,HTR1E
Eletriptan,HTR7
Bethanidine,ADRA2A
Bethanidine,ADRA2B
Bethanidine,ADRA2C
Bethanidine,KCNJ1
Bethanidine,ADRB1
Bethanidine,ADRB2
Oxyphenonium,CHRM1
Isoetarine,ADRB1
Isoetarine,ADRB2
Glimepiride,KCNJ11
Glimepiride,KCNJ1
Glimepiride,ABCC8
Lovastatin,HMGCR
Lovastatin,HDAC2
Enflurane,GABRA1
Enflurane,GABRA2
Enflurane,GABRA4
Enflurane,GABRA5
Enflurane,GABRB1
Enflurane,GABRB2
Enflurane,GABRB3
Enflurane,GABRD
Enflurane,GABRG3
Enflurane,GABRP
Enflurane,GRIA1
Pregabalin,CACNA1A
Temazepam,GABRA1
Temazepam,GABRA2
Temazepam,GABRA4
Temazepam,GABRA5
Temazepam,GABRB1
Temazepam,GABRB2
Temazepam,GABRB3
Temazepam,GABRG3
Temazepam,GABRD
Temazepam,GABRP
Temazepam,TSPO
Temazepam,GABRA1
Temazepam,GABRA2
Temazepam,GABRA4
Temazepam,GABRA5
Temazepam,GABRB1
Temazepam,GABRB2
Temazepam,GABRB3
Temazepam,GABRD
Temazepam,GABRG3
Temazepam,GABRP
Aminosalicylic Acid,PTGS2
Aminosalicylic Acid,CHUK
Aminosalicylic Acid,PLA2G2E
Milrinone,PDE3A
Butabarbital,GABRA1
Butabarbital,GABRA2
Butabarbital,GABRA4
Butabarbital,GABRA5
Butabarbital,GABRB1
Butabarbital,GABRB2
Butabarbital,GABRB3
Butabarbital,GABRD
Butabarbital,GABRG3
Butabarbital,GABRP
Butabarbital,CHRNA4
Butabarbital,CHRNA7
Butabarbital,GRIA2
Butalbital,GABRA1
Butalbital,GABRA2
Butalbital,GABRA4
Butalbital,GABRA5
Butalbital,CHRNA4
Butalbital,CHRNA7
Butalbital,GRIA2
Butalbital,GABRA1
Butalbital,GABRA2
Butalbital,GABRA4
Butalbital,GABRA5
Butalbital,GABRB1
Butalbital,GABRB2
Butalbital,GABRB3
Butalbital,GABRD
Butalbital,GABRG3
Butalbital,GABRP
Cladribine,RRM2
Cladribine,RRM2B
Ranolazine,SCN5A
Ranolazine,SCN9A
Mesalazine,PTGS2
Mesalazine,PTGS1
Mesalazine,PPARG
Mesalazine,CHUK
Mesalazine,IKBKB
Benzatropine,CHRM1
Benzatropine,SLC6A3
Benzatropine,HRH1
Ziprasidone,DRD2
Ziprasidone,HTR2A
Ziprasidone,DRD1
Ziprasidone,DRD5
Ziprasidone,DRD4
Ziprasidone,HTR1A
Ziprasidone,HTR1B
Ziprasidone,HTR1E
Ziprasidone,HTR6
Ziprasidone,HTR7
Ziprasidone,HRH1
Ziprasidone,ADRA1A
Ziprasidone,ADRA1B
Ziprasidone,ADRA2A
Ziprasidone,ADRA2B
Ziprasidone,ADRA2C
Ziprasidone,CHRM1
Ziprasidone,CHRM3
Methysergide,HTR2A
Methysergide,HTR1A
Methysergide,HTR7
Methysergide,HTR1B
Methysergide,HTR1F
Methysergide,HTR1E
Cabergoline,DRD2
Cabergoline,HTR2A
Cabergoline,ADRA2B
Cabergoline,DRD4
Cabergoline,ADRA2A
Cabergoline,HTR1A
Cabergoline,ADRA2C
Cabergoline,DRD5
Cabergoline,DRD1
Cabergoline,HTR1B
Cabergoline,HTR7
Cabergoline,ADRA1A
Cabergoline,ADRA1B
Cabergoline,ADRA1D
Cabergoline,ADRB1
Cabergoline,ADRB2
Cabergoline,DRD1
Cabergoline,DRD5
Phenytoin,SCN5A
Phenytoin,SCN1B
Diethylstilbestrol,ESR1
Diethylstilbestrol,ESR2
Diethylstilbestrol,NCOA2
Anagrelide,PDE3A
Metoprolol,ADRB1
Metoprolol,ADRB2
Dicoumarol,NQO1
Ropinirole,DRD2
Ropinirole,DRD4
Ropinirole,HTR1A
Ropinirole,DRD1
Ropinirole,DRD5
Ropinirole,HTR1B
Ropinirole,HTR2A
Ropinirole,ADRA2A
Ropinirole,ADRA2B
Ropinirole,ADRA2C
Chlorotrianisene,ESR1
Isradipine,CACNA1C
Isradipine,CACNA2D1
Isradipine,CACNB2
Isradipine,CACNA1H
Isradipine,CACNA2D2
Isradipine,CACNA1D
Betazole,HRH2
Topiramate,GABRA1
Topiramate,GABRA1
Topiramate,GABRA2
Topiramate,GABRA4
Topiramate,GABRA5
Topiramate,GABRB1
Topiramate,GABRB2
Topiramate,GABRB3
Topiramate,GABRD
Topiramate,GABRG3
Topiramate,GABRP
Olmesartan,AGTR1
Theophylline,ADORA2A
Theophylline,ADORA2B
Theophylline,PDE4B
Theophylline,PDE4A
Theophylline,PDE3A
Theophylline,HDAC2
Theophylline,PARP1
Liothyronine,THRA
Liothyronine,THRB
Liothyronine,PCNA
Disopyramide,SCN5A
Disopyramide,CHRM1
Disopyramide,CHRM3
Lidocaine,SCN9A
Lidocaine,SCN5A
Lidocaine,EGFR
Pamidronate,FDPS
Clemastine,HRH1
Venlafaxine,SLC6A3
Conjugated estrogens,ESR1
Atomoxetine,SLC6A3
Atomoxetine,GRIN1
Atomoxetine,GRIN2A
Atomoxetine,GRIN2B
Atomoxetine,GRIN2C
Atomoxetine,GRIN2D
Atomoxetine,GRIN3A
Atomoxetine,GRIN3B
Etomidate,GABRA1
Etomidate,ADRA2B
Etomidate,GABRA1
Etomidate,GABRA2
Etomidate,GABRA4
Etomidate,GABRA5
Etomidate,GABRB1
Etomidate,GABRB2
Etomidate,GABRB3
Etomidate,GABRD
Etomidate,GABRG3
Etomidate,GABRP
Etonogestrel,PGR
Etonogestrel,ESR1
Morphine,OPRK1
Morphine,OPRD1
Bupivacaine,PTGER1
Dapiprazole,ADRA1A
Dapiprazole,ADRA1D
Dapiprazole,ADRA1B
Desogestrel,PGR
Desogestrel,ESR1
Talbutal,GABRA1
Talbutal,GABRA2
Talbutal,GABRA4
Talbutal,GABRA5
Talbutal,CHRNA4
Talbutal,CHRNA7
Talbutal,GRIA2
Talbutal,GABRA1
Talbutal,GABRA2
Talbutal,GABRA4
Talbutal,GABRA5
Talbutal,GABRB1
Talbutal,GABRB2
Talbutal,GABRB3
Talbutal,GABRD
Talbutal,GABRG3
Talbutal,GABRP
Bexarotene,RXRA
Bexarotene,RXRB
Bexarotene,RXRG
Ibutilide,CACNA1C
Ibutilide,CACNB1
Ibutilide,CACNA2D1
Ibutilide,CACNG1
Ibutilide,KCNJ11
Vindesine,TUBB1
Pentobarbital,GABRA1
Pentobarbital,GABRA2
Pentobarbital,GABRA4
Pentobarbital,GABRA5
Pentobarbital,CHRNA4
Pentobarbital,CHRNA7
Pentobarbital,GRIA2
Pentobarbital,GABRA1
Pentobarbital,GABRA2
Pentobarbital,GABRA4
Pentobarbital,GABRA5
Pentobarbital,GABRB1
Pentobarbital,GABRB2
Pentobarbital,GABRB3
Pentobarbital,GABRD
Pentobarbital,GABRG3
Pentobarbital,GABRP
Pentobarbital,GRIN1
Pentobarbital,GRIN2A
Pentobarbital,GRIN2B
Pentobarbital,GRIN2C
Pentobarbital,GRIN2D
Pentobarbital,GRIN3A
Pentobarbital,GRIN3B
Valproic Acid,SCN5A
Valproic Acid,SCN9A
Valproic Acid,SCN1B
Valproic Acid,SCN4B
Valproic Acid,HDAC2
Valproic Acid,PPARA
Valproic Acid,PPARD
Valproic Acid,PPARG
Zolmitriptan,HTR1B
Zolmitriptan,HTR1F
Zolmitriptan,HTR1A
Acetaminophen,PTGS2
Acetaminophen,PTGS1
Acetaminophen,TRPV1
Acetaminophen,GSTP1
Gefitinib,EGFR
Codeine,OPRK1
Codeine,OPRD1
Dihydroergotamine,HTR1B
Dihydroergotamine,ADRA2A
Amitriptyline,HTR2A
Amitriptyline,HTR1A
Amitriptyline,OPRD1
Amitriptyline,OPRK1
Amitriptyline,NTRK1
Amitriptyline,NTRK2
Amitriptyline,ADRA1A
Amitriptyline,ADRA1D
Amitriptyline,ADRA2A
Amitriptyline,HRH1
Amitriptyline,CHRM1
Amitriptyline,CHRM3
Amitriptyline,HRH2
Amitriptyline,ADRA1B
Amitriptyline,HTR7
Amitriptyline,HTR1B
Amitriptyline,HTR6
Amitriptyline,ADRB1
Amitriptyline,ADRB2
Nitroprusside,NPR1
Hydromorphone,OPRD1
Hydromorphone,OPRK1
Indomethacin,PTGS1
Indomethacin,PTGS2
Indomethacin,PPARG
Indomethacin,PPARA
Metformin,PRKAB1
Ipratropium,CHRM1
Ipratropium,CHRM3
Methadone,GRIN3A
Methadone,OPRD1
Olanzapine,HTR2A
Olanzapine,DRD2
Olanzapine,DRD1
Olanzapine,DRD5
Olanzapine,DRD4
Olanzapine,HTR1A
Olanzapine,HTR1B
Olanzapine,HTR1E
Olanzapine,HTR6
Olanzapine,HTR7
Olanzapine,HRH1
Olanzapine,ADRA1A
Olanzapine,ADRA1B
Olanzapine,ADRA2A
Olanzapine,ADRA2B
Olanzapine,ADRA2C
Olanzapine,CHRM1
Olanzapine,CHRM3
Olanzapine,HTR5A
Olanzapine,DRD1
Olanzapine,DRD5
Olanzapine,HRH2
Olanzapine,GABRA1
Olanzapine,GABRA2
Olanzapine,GABRA4
Olanzapine,GABRA5
Olanzapine,GABRB1
Olanzapine,GABRB2
Olanzapine,GABRB3
Olanzapine,GABRD
Olanzapine,GABRG3
Olanzapine,GABRP
Olanzapine,ADRB1
Olanzapine,ADRB2
Atenolol,ADRB1
Atenolol,ADRB2
Pimecrolimus,MTOR
Omeprazole,AHR
Metixene,CHRM1
Metixene,CHRM3
Cetirizine,HRH1
Terfenadine,HRH1
Terfenadine,CHRM3
Terfenadine,CHRM1
Diltiazem,CACNG1
Alfuzosin,ADRA1A
Alfuzosin,ADRA1B
Alfuzosin,ADRA1D
Trimethadione,CACNA1G
Clobazam,GABRA1
Clobazam,GABRA2
Clobazam,GABRA4
Clobazam,GABRA5
Clobazam,GABRB1
Clobazam,GABRB2
Clobazam,GABRB3
Clobazam,GABRD
Clobazam,GABRG3
Clobazam,GABRP
Minoxidil,KCNJ1
Minoxidil,PTGS1
Megestrol acetate,PGR
Methylergometrine,DRD1
Buclizine,HRH1
Buclizine,CHRM1
Chlorzoxazone,KCNMA1
Mefloquine,ADORA2A
Sapropterin,NOS3
Sapropterin,TH
Vinorelbine,TUBB
Clozapine,DRD2
Clozapine,HTR2A
Clozapine,DRD1
Clozapine,DRD4
Clozapine,HTR1A
Clozapine,HTR1B
Clozapine,HTR1E
Clozapine,HTR6
Clozapine,HTR7
Clozapine,HRH1
Clozapine,ADRA1A
Clozapine,ADRA1B
Clozapine,ADRA2A
Clozapine,ADRA2B
Clozapine,ADRA2C
Clozapine,CHRM1
Clozapine,CHRM3
Clozapine,CALY
Clozapine,GSTP1
Sucralfate,FGF2
Doxylamine,HRH1
Doxylamine,CHRM1
Levonorgestrel,PGR
Levonorgestrel,ESR1
Norepinephrine,ADRA1A
Norepinephrine,ADRA1B
Norepinephrine,ADRA1D
Norepinephrine,ADRA2A
Norepinephrine,ADRA2B
Norepinephrine,ADRA2C
Norepinephrine,ADRB1
Norepinephrine,ADRB2
Mirtazapine,HTR2A
Mirtazapine,ADRA2A
Mirtazapine,OPRK1
Mirtazapine,HRH1
Mirtazapine,ADRA2C
Mirtazapine,HTR7
Mirtazapine,ADRA1A
Mirtazapine,ADRA1B
Mirtazapine,ADRA1D
Mirtazapine,DRD2
Mirtazapine,SLC6A3
Mirtazapine,DRD1
Mirtazapine,DRD5
Mirtazapine,ADRA1A
Mirtazapine,ADRB1
Mirtazapine,ADRB2
Meprobamate,GABRA1
Meprobamate,GABRA2
Meprobamate,GABRA4
Meprobamate,GABRA5
Meprobamate,GABRA1
Meprobamate,GABRA2
Meprobamate,GABRA4
Meprobamate,GABRA5
Meprobamate,GABRB1
Meprobamate,GABRB2
Meprobamate,GABRB3
Meprobamate,GABRD
Meprobamate,GABRG3
Meprobamate,GABRP
Thiethylperazine,DRD2
Thiethylperazine,DRD1
Thiethylperazine,DRD4
Timolol,ADRB1
Timolol,ADRB2
Treprostinil,PTGIR
Treprostinil,PPARD
Trihexyphenidyl,CHRM1
Trihexyphenidyl,CHRM3
Dydrogesterone,PGR
Mexiletine,SCN5A
Mexiletine,AHR
Amlodipine,CACNA1C
Amlodipine,CACNA2D1
Amlodipine,CACNB2
Amlodipine,CACNA1D
Amlodipine,CACNA1B
Amlodipine,CACNA2D3
Oxyphencyclimine,CHRM3
Oxyphencyclimine,CHRM1
Triamterene,SCNN1G
Triamterene,SCNN1A
Triamterene,SCNN1B
Procyclidine,CHRM1
Procyclidine,CHRM3
Phenylephrine,ADRA1A
Phenylephrine,ADRA1B
Phenylephrine,ADRA1D
Digoxin,ATP1A1
Sulpiride,DRD2
Ethopropazine,CHRM1
Ethopropazine,GRIN3A
Nimodipine,CACNA1C
Nimodipine,CACNA1D
Nimodipine,CACNB1
Nimodipine,CACNB2
Nimodipine,CACNB3
Nimodipine,CACNB4
Nimodipine,NR3C2
Nimodipine,AHR
Carisoprodol,GABRA1
Carisoprodol,GABRB2
Progesterone,PGR
Progesterone,ESR1
Progesterone,NR3C2
Progesterone,CYP17A1
Progesterone,OPRK1
Phenylpropanolamine,DRD1
Phenylpropanolamine,ADRB1
Phenylpropanolamine,ADRB2
Phenylpropanolamine,ADRA2A
Phenylpropanolamine,ADRA2B
Phenylpropanolamine,ADRA2C
Sorafenib,BRAF
Sorafenib,RAF1
Sorafenib,FLT4
Sorafenib,KDR
Sorafenib,FLT3
Sorafenib,KIT
Sorafenib,FGFR1
Sorafenib,RET
Sorafenib,FLT1
Zoledronic acid,FDPS
Nisoldipine,CACNA1C
Nisoldipine,CACNA2D1
Nisoldipine,CACNB2
Nisoldipine,CACNA1D
Eszopiclone,GABRA1
Eszopiclone,GABRA2
Eszopiclone,GABRA5
Eszopiclone,TSPO
Eszopiclone,GABRA1
Eszopiclone,GABRA2
Eszopiclone,GABRA4
Eszopiclone,GABRA5
Eszopiclone,GABRB1
Eszopiclone,GABRB2
Eszopiclone,GABRB3
Eszopiclone,GABRD
Eszopiclone,GABRG3
Eszopiclone,GABRP
Ceruletide,CCKAR
Alprazolam,GABRA1
Alprazolam,GABRA2
Alprazolam,GABRA4
Alprazolam,GABRA5
Alprazolam,GABRB1
Alprazolam,GABRB2
Alprazolam,GABRB3
Alprazolam,GABRD
Alprazolam,GABRG3
Alprazolam,GABRP
Dexbrompheniramine,HRH1
Loxapine,DRD2
Loxapine,DRD1
Loxapine,HTR2A
Loxapine,HTR1A
Loxapine,HTR1B
Loxapine,HTR1E
Loxapine,HTR5A
Loxapine,HTR6
Loxapine,HTR7
Loxapine,ADRA1A
Loxapine,ADRA1B
Loxapine,ADRA2A
Loxapine,ADRA2B
Loxapine,ADRA2C
Loxapine,ADRB1
Loxapine,CHRM1
Loxapine,CHRM3
Loxapine,DRD1
Loxapine,DRD5
Loxapine,DRD4
Loxapine,DRD5
Loxapine,HRH1
Loxapine,HRH2
Loxapine,SLC6A3
Remoxipride,DRD2
Remoxipride,DRD4
Remoxipride,HTR2A
Carbachol,CHRM1
Carbachol,CHRM3
Rosiglitazone,PPARG
Rosiglitazone,PPARA
