Drug A,Drug B,Cell Line Name,Score
Thalidomide,Tretinoin,SF-295,-6.5555555555555545
Azacitidine,Romidepsin,SF-268,-2.2222222222222223
Zoledronic acid,Azacitidine,CAKI-1,-7.222222222222222
Everolimus,Dasatinib,MCF7,-5.222222222222221
Azacitidine,Cladribine,SK-MEL-28,-6.5555555555555545
Thalidomide,Cladribine,MCF7,-7.8888888888888875
Thalidomide,Tretinoin,SK-MEL-28,-9.111111111111107
Thalidomide,Cladribine,OVCAR-4,-11.0
Decitabine,Tretinoin,OVCAR-3,-1.7777777777777777
Mitotane,Everolimus,SK-OV-3,-5.333333333333333
Nilotinib,Tretinoin,SF-539,-0.8888888888888888
Decitabine,Docetaxel,SK-MEL-5,-8.555555555555555
Zoledronic acid,Tretinoin,OVCAR-4,-1.4444444444444444
Dasatinib,Azacitidine,UACC-257,-2.4444444444444446
Dasatinib,Vorinostat,SK-MEL-28,-4.2222222222222205
Paclitaxel,Celecoxib,HCT-116,13.444444444444445
Everolimus,Dasatinib,HCT-15,1.3333333333333333
Romidepsin,Tretinoin,MDA-MB-231/ATCC,-1.7777777777777777
Fulvestrant,Celecoxib,OVCAR-4,-6.1111111111111125
Azacitidine,Docetaxel,OVCAR-3,-1.3333333333333333
Dasatinib,Vorinostat,HCT-116,4.111111111111111
Docetaxel,Tretinoin,NCI-H522,21.22222222222221
Docetaxel,Sirolimus,IGROV1,-8.666666666666666
Tretinoin,Cladribine,PC-3,-4.4444444444444455
Nilotinib,Celecoxib,K-562,-16.88888888888889
Romidepsin,Sirolimus,SW-620,1.3333333333333333
Mitotane,Paclitaxel,SF-268,-4.333333333333333
Zoledronic acid,Sirolimus,UACC-62,-1.0
Mitotane,Sirolimus,SK-MEL-28,-7.0
Zoledronic acid,Paclitaxel,NCI-H23,9.0
Vorinostat,Azacitidine,HCT-116,-0.8888888888888888
Zoledronic acid,Dasatinib,T-47D,3.888888888888889
Everolimus,Romidepsin,OVCAR-4,-3.111111111111111
Zoledronic acid,Vorinostat,KM12,-2.0
Fulvestrant,Nilotinib,HS 578T,1.3333333333333333
Fulvestrant,Cladribine,NCI-H23,-1.2222222222222223
Nilotinib,Cladribine,A498,-4.2222222222222205
Paclitaxel,Cladribine,PC-3,-5.8888888888888875
Mitotane,Nilotinib,KM12,-3.0
Dasatinib,Paclitaxel,SNB-75,4.4444444444444455
Vorinostat,Tretinoin,A498,-2.7777777777777777
Decitabine,Tretinoin,MCF7,-1.0
Thalidomide,Sirolimus,SF-539,3.4444444444444446
Dasatinib,Nilotinib,SNB-75,-5.8888888888888875
Docetaxel,Fulvestrant,K-562,9.222222222222221
Paclitaxel,Sirolimus,PC-3,5.5555555555555545
Dasatinib,Tretinoin,HCT-116,5.0
Azacitidine,Fulvestrant,SF-268,-9.444444444444443
Gefitinib,Lenalidomide,SK-OV-3,-1.8888888888888888
Azacitidine,Paclitaxel,NCI-H460,2.888888888888889
Decitabine,Docetaxel,CAKI-1,-2.0
Fulvestrant,Tretinoin,LOX IMVI,8.11111111111111
Vorinostat,Sirolimus,IGROV1,-4.4444444444444455
Mitotane,Nilotinib,NCI-H23,-8.11111111111111
Zoledronic acid,Tretinoin,IGROV1,0.2222222222222222
Azacitidine,Docetaxel,SK-MEL-28,-7.555555555555554
Everolimus,Azacitidine,SF-268,-4.666666666666667
Dasatinib,Nilotinib,NCI-H522,1.5555555555555556
Zoledronic acid,Sirolimus,OVCAR-4,-4.5555555555555545
Azacitidine,Nilotinib,T-47D,-9.555555555555557
Nilotinib,Cladribine,UACC-257,-1.4444444444444444
Mitotane,Dasatinib,KM12,-1.4444444444444444
Thalidomide,Azacitidine,UACC-257,-3.0
Dasatinib,Paclitaxel,SF-268,-1.0
Thalidomide,Paclitaxel,HS 578T,8.666666666666666
Zoledronic acid,Cladribine,OVCAR-3,-12.888888888888893
Mitotane,Paclitaxel,MDA-MB-231/ATCC,-4.111111111111111
Vorinostat,Sirolimus,SF-268,-1.5555555555555556
Dasatinib,Tretinoin,DU-145,-4.666666666666667
Mitotane,Azacitidine,SK-MEL-28,0.6666666666666666
Docetaxel,Cladribine,OVCAR-8,-6.666666666666668
Everolimus,Tretinoin,KM12,-10.0
Thalidomide,Mitotane,OVCAR-3,1.8888888888888888
Decitabine,Tretinoin,DU-145,-2.888888888888889
Mitotane,Paclitaxel,OVCAR-8,-7.666666666666668
Thalidomide,Docetaxel,A498,-9.555555555555557
Fulvestrant,Azacitidine,SR,-5.111111111111111
Fulvestrant,Celecoxib,HCT-15,-8.0
Zoledronic acid,Everolimus,OVCAR-3,-1.0
Zoledronic acid,Paclitaxel,KM12,-7.444444444444445
Fulvestrant,Cladribine,BT-549,-3.111111111111111
Dasatinib,Azacitidine,BT-549,-0.1111111111111111
Mitotane,Docetaxel,ACHN,5.5555555555555545
Mitotane,Azacitidine,KM12,4.111111111111111
Fulvestrant,Everolimus,SW-620,12.777777777777779
Decitabine,Docetaxel,A498,-6.777777777777778
Azacitidine,Tretinoin,SNB-75,1.1111111111111112
Everolimus,Docetaxel,SK-MEL-28,-1.3333333333333333
Nilotinib,Celecoxib,KM12,-5.4444444444444455
Mitotane,Celecoxib,SNB-75,-5.5555555555555545
Tretinoin,Cladribine,NCI-H460,-5.8888888888888875
Tretinoin,Celecoxib,LOX IMVI,-17.22222222222222
Zoledronic acid,Celecoxib,SNB-75,-4.4444444444444455
Thalidomide,Paclitaxel,OVCAR-4,-1.6666666666666667
Decitabine,Azacitidine,KM12,-7.444444444444445
Azacitidine,Fulvestrant,SW-620,1.0
Decitabine,Sirolimus,RPMI-8226,3.2222222222222223
Zoledronic acid,Paclitaxel,MDA-MB-468,-16.666666666666668
Mitotane,Nilotinib,A498,-6.5555555555555545
Decitabine,Tretinoin,SW-620,-4.111111111111111
Mitotane,Dasatinib,LOX IMVI,0.7777777777777778
Vorinostat,Docetaxel,BT-549,-3.0
Mitotane,Sirolimus,T-47D,-0.1111111111111111
Mitotane,Azacitidine,IGROV1,0.2222222222222222
Sirolimus,Cladribine,HOP-92,-6.8888888888888875
Mitotane,Nilotinib,SF-295,-3.333333333333333
Thalidomide,Tretinoin,CAKI-1,4.2222222222222205
Zoledronic acid,Azacitidine,T-47D,-1.6666666666666667
Decitabine,Tretinoin,SF-268,-4.333333333333333
Fulvestrant,Azacitidine,K-562,0.6666666666666666
Azacitidine,Fulvestrant,KM12,-8.444444444444445
Mitotane,Everolimus,SF-268,-6.333333333333332
Fulvestrant,Cladribine,ACHN,0.3333333333333333
Vorinostat,Nilotinib,HCT-116,-8.0
Sirolimus,Celecoxib,K-562,4.777777777777779
Zoledronic acid,Azacitidine,OVCAR-3,-0.5555555555555556
Zoledronic acid,Romidepsin,A498,8.11111111111111
Paclitaxel,Nilotinib,K-562,23.0
Everolimus,Celecoxib,OVCAR-3,-5.0
Zoledronic acid,Everolimus,UACC-257,2.4444444444444446
Megestrol acetate,Lenalidomide,SNB-75,-7.222222222222222
Mitotane,Azacitidine,U251,-3.2222222222222223
Everolimus,Paclitaxel,HS 578T,8.0
Nilotinib,Mitotane,SW-620,-3.5555555555555562
Fulvestrant,Celecoxib,IGROV1,-5.333333333333333
Dasatinib,Paclitaxel,A498,3.0
Docetaxel,Fulvestrant,A549/ATCC,7.8888888888888875
Mitotane,Dasatinib,HCT-116,-5.666666666666668
Mitotane,Sirolimus,SW-620,-1.4444444444444444
Nilotinib,Tretinoin,OVCAR-4,-8.888888888888891
Fulvestrant,Azacitidine,SNB-75,3.888888888888889
Paclitaxel,Sirolimus,UACC-257,4.2222222222222205
Fulvestrant,Cladribine,SK-MEL-28,4.4444444444444455
Cladribine,Celecoxib,K-562,2.4444444444444446
Nilotinib,Celecoxib,A549/ATCC,-4.111111111111111
Sirolimus,Celecoxib,HCT-116,-0.7777777777777778
Everolimus,Paclitaxel,IGROV1,-0.8888888888888888
Paclitaxel,Sirolimus,BT-549,2.2222222222222223
Everolimus,Celecoxib,NCI-H460,-2.7777777777777777
Sirolimus,Celecoxib,UACC-257,-4.5555555555555545
Azacitidine,Cladribine,IGROV1,1.2222222222222223
Mitotane,Nilotinib,HS 578T,-1.2222222222222223
Zoledronic acid,Celecoxib,U251,-6.5555555555555545
Megestrol acetate,Lenalidomide,LOX IMVI,-0.4444444444444444
Nilotinib,Mitotane,MDA-MB-231/ATCC,-14.555555555555555
Gefitinib,Lenalidomide,NCI-H460,-3.888888888888889
Paclitaxel,Tretinoin,MDA-MB-231/ATCC,25.66666666666667
Zoledronic acid,Vorinostat,SF-539,-3.5555555555555562
Tretinoin,Cladribine,SNB-75,-0.2222222222222222
Megestrol acetate,Lenalidomide,MDA-MB-231/ATCC,-17.444444444444443
Fulvestrant,Romidepsin,MDA-MB-468,-2.5555555555555562
Sirolimus,Cladribine,MCF7,-8.666666666666666
Everolimus,Dasatinib,A498,-2.1111111111111107
Fulvestrant,Dasatinib,HCT-116,-3.0
Docetaxel,Nilotinib,OVCAR-4,0.2222222222222222
Decitabine,Docetaxel,SK-OV-3,-12.222222222222221
Vorinostat,Cladribine,SW-620,-3.333333333333333
Azacitidine,Romidepsin,OVCAR-8,-6.222222222222222
Fulvestrant,Celecoxib,DU-145,-16.333333333333332
Mitotane,Everolimus,RPMI-8226,7.222222222222222
Vorinostat,Romidepsin,OVCAR-4,-0.4444444444444444
Fulvestrant,Romidepsin,DU-145,3.111111111111111
Mitotane,Cladribine,SR,7.333333333333332
Azacitidine,Fulvestrant,A549/ATCC,-3.888888888888889
Romidepsin,Tretinoin,SF-539,7.333333333333332
Zoledronic acid,Nilotinib,SF-295,-2.2222222222222223
Everolimus,Cladribine,T-47D,-5.0
Mitotane,Docetaxel,RPMI-8226,41.55555555555557
Paclitaxel,Nilotinib,A549/ATCC,-2.7777777777777777
Everolimus,Cladribine,MDA-MB-468,1.2222222222222223
Mitotane,Nilotinib,UACC-257,-6.222222222222222
Nilotinib,Tretinoin,IGROV1,-1.3333333333333333
Thalidomide,Tretinoin,MCF7,-1.0
Mitotane,Tretinoin,NCI-H23,2.0
Sirolimus,Mitotane,DU-145,-1.1111111111111112
Docetaxel,Cladribine,MDA-MB-231/ATCC,-3.0
Zoledronic acid,Dasatinib,RPMI-8226,-15.222222222222221
Zoledronic acid,Nilotinib,SW-620,-5.4444444444444455
Fulvestrant,Tretinoin,MDA-MB-468,3.7777777777777777
Thalidomide,Cladribine,U251,-12.0
Sirolimus,Cladribine,KM12,-5.4444444444444455
Mitotane,Cladribine,A549/ATCC,-13.0
Dasatinib,Vorinostat,SNB-75,-1.6666666666666667
Vorinostat,Cladribine,SF-539,-2.2222222222222223
Dasatinib,Paclitaxel,RPMI-8226,3.2222222222222223
Nilotinib,Cladribine,SNB-75,-7.1111111111111125
Cladribine,Celecoxib,SNB-75,-1.8888888888888888
Docetaxel,Nilotinib,UACC-257,2.1111111111111107
Vorinostat,Azacitidine,RPMI-8226,9.333333333333334
Fulvestrant,Paclitaxel,DU-145,-1.1111111111111112
Vorinostat,Celecoxib,LOX IMVI,-1.1111111111111112
Vorinostat,Tretinoin,NCI-H460,-4.0
Everolimus,Docetaxel,HS 578T,2.4444444444444446
Vorinostat,Tretinoin,MDA-MB-231/ATCC,-24.33333333333333
Mitotane,Nilotinib,PC-3,2.2222222222222223
Everolimus,Paclitaxel,LOX IMVI,-11.777777777777779
Romidepsin,Nilotinib,OVCAR-8,-11.333333333333336
Azacitidine,Celecoxib,SW-620,-4.333333333333333
Thalidomide,Docetaxel,SK-OV-3,-8.11111111111111
Fulvestrant,Azacitidine,SW-620,-1.1111111111111112
Decitabine,Tretinoin,A498,-14.555555555555555
Sirolimus,Tretinoin,ACHN,5.8888888888888875
Sirolimus,Cladribine,BT-549,1.5555555555555556
Mitotane,Tretinoin,SW-620,5.333333333333333
Zoledronic acid,Celecoxib,KM12,-3.333333333333333
Azacitidine,Fulvestrant,SF-539,-16.0
Fulvestrant,Everolimus,K-562,6.4444444444444455
Mitotane,Tretinoin,NCI-H522,2.6666666666666665
Megestrol acetate,Lenalidomide,NCI-H460,-5.4444444444444455
Vorinostat,Tretinoin,NCI-H522,-2.5555555555555562
Fulvestrant,Azacitidine,SF-295,-1.8888888888888888
Vorinostat,Sirolimus,OVCAR-3,-10.0
Dasatinib,Vorinostat,KM12,-1.5555555555555556
Zoledronic acid,Celecoxib,RPMI-8226,-12.222222222222221
Romidepsin,Nilotinib,SW-620,2.333333333333333
Docetaxel,Celecoxib,MDA-MB-468,18.666666666666668
Azacitidine,Docetaxel,IGROV1,-1.4444444444444444
Dasatinib,Vorinostat,DU-145,-2.4444444444444446
Fulvestrant,Cladribine,OVCAR-3,2.4444444444444446
Everolimus,Romidepsin,LOX IMVI,-1.6666666666666667
Azacitidine,Nilotinib,SK-MEL-5,-8.888888888888891
Vorinostat,Docetaxel,IGROV1,0.0
Zoledronic acid,Tretinoin,NCI-H460,-0.8888888888888888
Fulvestrant,Paclitaxel,MDA-MB-468,-5.333333333333333
Thalidomide,Cladribine,HS 578T,-4.777777777777779
Dasatinib,Azacitidine,MCF7,-3.7777777777777777
Fulvestrant,Vorinostat,SK-MEL-28,2.333333333333333
Thalidomide,Cladribine,K-562,-5.111111111111111
Mitotane,Azacitidine,SF-295,0.0
Mitotane,Nilotinib,UACC-62,1.4444444444444444
Paclitaxel,Tretinoin,T-47D,5.666666666666668
Dasatinib,Tretinoin,SW-620,-1.6666666666666667
Zoledronic acid,Tretinoin,LOX IMVI,-6.4444444444444455
Mitotane,Docetaxel,SR,31.222222222222207
Mitotane,Celecoxib,OVCAR-3,-2.4444444444444446
Zoledronic acid,Dasatinib,HCT-116,-10.555555555555557
Fulvestrant,Everolimus,BT-549,23.33333333333333
Mitotane,Paclitaxel,A549/ATCC,-2.888888888888889
Thalidomide,Tretinoin,NCI-H522,-2.888888888888889
Dasatinib,Sirolimus,IGROV1,3.888888888888889
Fulvestrant,Cladribine,IGROV1,-1.6666666666666667
Mitotane,Sirolimus,UACC-257,-5.5555555555555545
Tretinoin,Celecoxib,OVCAR-3,-14.777777777777779
Everolimus,Celecoxib,SW-620,-2.0
Dasatinib,Sirolimus,BT-549,1.0
Zoledronic acid,Everolimus,U251,-2.6666666666666665
Mitotane,Dasatinib,U251,-4.4444444444444455
Paclitaxel,Sirolimus,MDA-MB-231/ATCC,-6.1111111111111125
Azacitidine,Celecoxib,K-562,6.666666666666668
Azacitidine,Fulvestrant,UACC-62,-3.888888888888889
Everolimus,Azacitidine,SW-620,1.0
Dasatinib,Nilotinib,A498,-7.0
Nilotinib,Tretinoin,NCI-H522,-8.444444444444445
Fulvestrant,Sirolimus,UACC-62,-0.5555555555555556
Vorinostat,Tretinoin,SF-268,-13.666666666666664
Thalidomide,Sirolimus,SF-295,-1.8888888888888888
Sirolimus,Nilotinib,LOX IMVI,-0.8888888888888888
Decitabine,Docetaxel,MCF7,-14.444444444444445
Megestrol acetate,Gefitinib,MDA-MB-231/ATCC,-14.444444444444445
Romidepsin,Tretinoin,HCT-116,7.333333333333332
Zoledronic acid,Everolimus,CAKI-1,-0.7777777777777778
Thalidomide,Sirolimus,HCT-15,-1.5555555555555556
Vorinostat,Azacitidine,MDA-MB-468,-11.111111111111107
Everolimus,Sirolimus,A549/ATCC,4.2222222222222205
Fulvestrant,Azacitidine,PC-3,-1.3333333333333333
Gefitinib,Lenalidomide,IGROV1,-2.888888888888889
Zoledronic acid,Sirolimus,OVCAR-8,0.1111111111111111
Azacitidine,Sirolimus,OVCAR-4,-1.3333333333333333
Zoledronic acid,Vorinostat,SK-MEL-28,-1.4444444444444444
Zoledronic acid,Azacitidine,KM12,0.2222222222222222
Nilotinib,Mitotane,SF-539,-4.4444444444444455
Sirolimus,Celecoxib,ACHN,5.0
Decitabine,Mitotane,HOP-92,-4.111111111111111
Megestrol acetate,Gefitinib,BT-549,4.333333333333333
Dasatinib,Nilotinib,PC-3,-3.5555555555555562
Decitabine,Azacitidine,MDA-MB-231/ATCC,-4.111111111111111
Zoledronic acid,Everolimus,UACC-62,1.1111111111111112
Zoledronic acid,Romidepsin,BT-549,4.333333333333333
Zoledronic acid,Cladribine,OVCAR-4,2.888888888888889
Fulvestrant,Vorinostat,A498,-1.4444444444444444
