Drug A,Drug B,Cell Line Name,Score
Azacitidine,Paclitaxel,SF-539,-29.777777777777786
Docetaxel,Tretinoin,HS 578T,20.666666666666668
Imiquimod,Azacitidine,HCT-15,-5.222222222222221
Mitotane,Dasatinib,NCI-H23,-2.555555555555556
Fulvestrant,Azacitidine,K-562,0.6666666666666666
Everolimus,Nilotinib,OVCAR-4,-2.4444444444444446
Romidepsin,Cladribine,SK-MEL-28,4.333333333333333
Mitotane,Cladribine,T-47D,-9.888888888888893
Dasatinib,Vorinostat,MCF7,-10.333333333333334
Mitotane,Docetaxel,LOX IMVI,19.33333333333333
Romidepsin,Docetaxel,UACC-257,2.6666666666666665
Gefitinib,Lenalidomide,HCT-15,-0.2222222222222222
Tretinoin,Cladribine,UACC-257,-1.8888888888888888
Paclitaxel,Celecoxib,K-562,28.44444444444445
Vorinostat,Azacitidine,T-47D,-7.777777777777778
Vorinostat,Tretinoin,SF-539,0.5555555555555556
Mitotane,Nilotinib,MALME-3M,2.0
Zoledronic acid,Romidepsin,A549/ATCC,3.0
Fulvestrant,Romidepsin,HOP-92,-1.6666666666666667
Dasatinib,Romidepsin,BT-549,-2.7777777777777777
Decitabine,Sirolimus,UACC-257,-8.444444444444445
Sirolimus,Nilotinib,SF-539,-4.2222222222222205
Mitotane,Sirolimus,T-47D,-0.1111111111111111
Zoledronic acid,Paclitaxel,SF-268,-3.0
Tretinoin,Celecoxib,NCI-H23,1.0
Azacitidine,Fulvestrant,IGROV1,0.7777777777777778
Nilotinib,Celecoxib,A498,-0.6666666666666666
Zoledronic acid,Cladribine,SW-620,-2.333333333333333
Fulvestrant,Paclitaxel,SK-OV-3,-9.888888888888893
Everolimus,Azacitidine,KM12,-5.0
Zoledronic acid,Romidepsin,MALME-3M,2.4444444444444446
Decitabine,Azacitidine,MDA-MB-231/ATCC,-4.111111111111111
Decitabine,Azacitidine,SK-OV-3,-14.444444444444445
Azacitidine,Celecoxib,NCI-H522,-5.111111111111111
Decitabine,Docetaxel,HCT-15,-6.1111111111111125
Imiquimod,Cladribine,UACC-257,-3.0
Fulvestrant,Dasatinib,SNB-75,6.222222222222222
Imiquimod,Tretinoin,SK-OV-3,-1.7777777777777777
Romidepsin,Tretinoin,UACC-62,-7.333333333333332
Everolimus,Docetaxel,K-562,3.0
Mitotane,Nilotinib,PC-3,2.2222222222222223
Vorinostat,Azacitidine,UACC-62,6.222222222222222
Romidepsin,Celecoxib,A498,-0.7777777777777778
Fulvestrant,Romidepsin,T-47D,2.7777777777777777
Dasatinib,Cladribine,MALME-3M,-3.2222222222222223
Fulvestrant,Azacitidine,SW-620,-1.1111111111111112
Azacitidine,Sirolimus,K-562,0.7777777777777778
Dasatinib,Nilotinib,HCT-15,-18.22222222222221
Sirolimus,Tretinoin,A498,7.222222222222222
Thalidomide,Cladribine,SF-295,-3.2222222222222223
Megestrol acetate,Gefitinib,SF-268,-5.888888888888888
Nilotinib,Tretinoin,NCI-H522,-8.444444444444445
Cladribine,Celecoxib,UACC-62,-2.7777777777777777
Romidepsin,Docetaxel,OVCAR-8,-0.6666666666666666
Everolimus,Dasatinib,HS 578T,0.1111111111111111
Romidepsin,Docetaxel,OVCAR-3,-1.5555555555555556
Azacitidine,Romidepsin,KM12,1.3333333333333333
Zoledronic acid,Everolimus,MDA-MB-231/ATCC,1.2222222222222223
Everolimus,Sirolimus,A549/ATCC,4.2222222222222205
Docetaxel,Celecoxib,LOX IMVI,16.88888888888889
Imiquimod,Paclitaxel,IGROV1,10.111111111111107
Romidepsin,Docetaxel,PC-3,5.666666666666668
Fulvestrant,Paclitaxel,NCI-H522,-0.2222222222222222
Dasatinib,Cladribine,RPMI-8226,-8.555555555555555
Romidepsin,Celecoxib,SF-268,-0.7777777777777778
Fulvestrant,Sirolimus,SK-MEL-28,-3.555555555555556
Nilotinib,Cladribine,OVCAR-4,3.0
Mitotane,Celecoxib,A498,0.3333333333333333
Paclitaxel,Sirolimus,NCI-H460,13.222222222222221
Zoledronic acid,Docetaxel,IGROV1,4.888888888888889
Decitabine,Docetaxel,SF-268,-7.333333333333332
Zoledronic acid,Vorinostat,SW-620,0.7777777777777778
Fulvestrant,Azacitidine,HS 578T,4.111111111111111
Thalidomide,Tretinoin,DU-145,-11.777777777777779
Thalidomide,Cladribine,A498,-5.333333333333333
Zoledronic acid,Sirolimus,SK-MEL-2,-4.333333333333333
Everolimus,Romidepsin,SF-268,-0.2222222222222222
Vorinostat,Azacitidine,KM12,-1.6666666666666667
Fulvestrant,Nilotinib,RPMI-8226,-5.111111111111111
Zoledronic acid,Nilotinib,DU-145,-4.4444444444444455
Azacitidine,Tretinoin,BT-549,-0.5555555555555556
Gefitinib,Lenalidomide,MDA-MB-468,0.5555555555555556
Nilotinib,Celecoxib,HCT-116,-4.777777777777779
Mitotane,Dasatinib,IGROV1,1.2222222222222223
Everolimus,Cladribine,SF-268,-5.777777777777778
Nilotinib,Mitotane,MDA-MB-231/ATCC,-14.555555555555555
Everolimus,Nilotinib,SF-268,-8.333333333333334
Thalidomide,Paclitaxel,OVCAR-8,-2.4444444444444446
Zoledronic acid,Nilotinib,T-47D,-1.0
Mitotane,Celecoxib,IGROV1,-1.4444444444444444
Zoledronic acid,Tretinoin,NCI-H23,-6.5555555555555545
Tretinoin,Celecoxib,DU-145,-14.333333333333336
Imiquimod,Sirolimus,NCI-H460,-4.333333333333333
Everolimus,Docetaxel,OVCAR-4,2.555555555555556
Dasatinib,Tretinoin,DU-145,-4.666666666666667
Imiquimod,Mitotane,U251,-10.111111111111107
Azacitidine,Paclitaxel,OVCAR-3,-19.0
Dasatinib,Tretinoin,PC-3,-0.2222222222222222
Mitotane,Docetaxel,SK-MEL-28,3.2222222222222223
Azacitidine,Paclitaxel,HS 578T,2.888888888888889
Sirolimus,Mitotane,HS 578T,2.4444444444444446
Cladribine,Celecoxib,MALME-3M,-6.4444444444444455
Zoledronic acid,Sirolimus,MDA-MB-468,2.0
Dasatinib,Sirolimus,RPMI-8226,-8.444444444444445
Thalidomide,Azacitidine,HCT-15,-6.333333333333332
Mitotane,Everolimus,DU-145,10.111111111111107
Vorinostat,Nilotinib,BT-549,-11.666666666666664
Decitabine,Cladribine,786-0,-3.0
Romidepsin,Cladribine,RPMI-8226,-6.888888888888888
Mitotane,Cladribine,KM12,0.5555555555555556
Zoledronic acid,Romidepsin,A498,8.11111111111111
Zoledronic acid,Tretinoin,SF-539,-0.5555555555555556
Zoledronic acid,Azacitidine,DU-145,3.333333333333333
Everolimus,Romidepsin,NCI-H522,-2.1111111111111107
Romidepsin,Sirolimus,HCT-116,4.333333333333333
Sirolimus,Nilotinib,SNB-75,-5.777777777777778
Everolimus,Sirolimus,PC-3,6.777777777777778
Fulvestrant,Sirolimus,HS 578T,-2.6666666666666665
Paclitaxel,Tretinoin,OVCAR-4,9.555555555555557
Dasatinib,Nilotinib,OVCAR-4,-4.2222222222222205
Everolimus,Vorinostat,NCI-H460,-0.3333333333333333
Azacitidine,Sirolimus,IGROV1,-2.888888888888889
Fulvestrant,Sirolimus,SF-295,-2.333333333333333
Fulvestrant,Paclitaxel,K-562,-5.4444444444444455
Azacitidine,Celecoxib,SK-MEL-28,-15.333333333333336
Mitotane,Tretinoin,SK-OV-3,3.555555555555556
Thalidomide,Azacitidine,U251,3.111111111111111
Zoledronic acid,Dasatinib,UACC-62,2.888888888888889
Paclitaxel,Nilotinib,HS 578T,29.0
Docetaxel,Fulvestrant,LOX IMVI,17.88888888888889
Zoledronic acid,Romidepsin,HOP-92,-0.4444444444444444
Sirolimus,Celecoxib,LOX IMVI,2.2222222222222223
Nilotinib,Mitotane,NCI-H23,-8.333333333333334
Fulvestrant,Azacitidine,A549/ATCC,0.3333333333333333
Cladribine,Celecoxib,SK-OV-3,-4.111111111111111
Everolimus,Azacitidine,HS 578T,-6.1111111111111125
Romidepsin,Celecoxib,UACC-257,-6.222222222222222
Azacitidine,Docetaxel,A549/ATCC,-0.6666666666666666
Vorinostat,Celecoxib,MDA-MB-231/ATCC,2.6666666666666665
Tretinoin,Cladribine,T-47D,-3.7777777777777777
Mitotane,Everolimus,HCT-15,5.222222222222221
Zoledronic acid,Romidepsin,ACHN,-4.777777777777779
Everolimus,Romidepsin,UACC-257,-4.666666666666667
Fulvestrant,Cladribine,SK-MEL-28,4.4444444444444455
Imiquimod,Paclitaxel,A549/ATCC,5.777777777777778
Thalidomide,Paclitaxel,SK-OV-3,-0.1111111111111111
Everolimus,Celecoxib,SW-620,-2.0
Fulvestrant,Vorinostat,A549/ATCC,1.2222222222222223
Zoledronic acid,Tretinoin,T-47D,8.555555555555555
Everolimus,Azacitidine,NCI-H522,-6.222222222222222
Dasatinib,Tretinoin,MCF7,-6.222222222222222
Sirolimus,Nilotinib,DU-145,-4.333333333333333
Imiquimod,Paclitaxel,SF-295,-2.333333333333333
Thalidomide,Sirolimus,SK-OV-3,-1.4444444444444444
Everolimus,Tretinoin,K-562,0.4444444444444444
Thalidomide,Sirolimus,SF-539,3.4444444444444446
Thalidomide,Sirolimus,OVCAR-3,-4.888888888888889
Azacitidine,Romidepsin,UACC-257,-3.6666666666666665
Paclitaxel,Sirolimus,HCT-116,-5.111111111111111
Romidepsin,Paclitaxel,LOX IMVI,-2.333333333333333
Vorinostat,Docetaxel,SK-MEL-5,-4.888888888888889
Vorinostat,Tretinoin,SF-268,-13.666666666666664
Megestrol acetate,Lenalidomide,OVCAR-3,-2.2222222222222223
Paclitaxel,Celecoxib,PC-3,9.444444444444443
Everolimus,Cladribine,OVCAR-4,0.5555555555555556
Megestrol acetate,Gefitinib,NCI-H522,0.2222222222222222
Everolimus,Azacitidine,SF-539,-8.333333333333334
Thalidomide,Cladribine,LOX IMVI,-9.0
Everolimus,Vorinostat,KM12,-8.555555555555555
Thalidomide,Azacitidine,BT-549,-2.1111111111111107
Docetaxel,Nilotinib,OVCAR-8,10.0
Everolimus,Vorinostat,UACC-62,0.3333333333333333
Mitotane,Celecoxib,OVCAR-3,-2.4444444444444446
Mitotane,Paclitaxel,DU-145,-2.888888888888889
Megestrol acetate,Gefitinib,SK-MEL-2,-9.444444444444443
Zoledronic acid,Romidepsin,KM12,4.666666666666667
Decitabine,Tretinoin,SK-MEL-28,-7.0
Everolimus,Dasatinib,UACC-257,-5.0
Mitotane,Cladribine,SNB-75,-7.555555555555554
Everolimus,Cladribine,HS 578T,-2.1111111111111107
Thalidomide,Paclitaxel,MDA-MB-231/ATCC,1.5555555555555556
Dasatinib,Nilotinib,KM12,-0.7777777777777778
Nilotinib,Celecoxib,IGROV1,-4.2222222222222205
Vorinostat,Celecoxib,MDA-MB-468,-4.111111111111111
Decitabine,Cladribine,MDA-MB-231/ATCC,4.888888888888889
Zoledronic acid,Docetaxel,SK-MEL-28,-9.888888888888893
Fulvestrant,Tretinoin,786-0,-2.4444444444444446
Cladribine,Celecoxib,SF-268,-9.333333333333334
Zoledronic acid,Romidepsin,OVCAR-3,-3.6666666666666665
Romidepsin,Sirolimus,MALME-3M,0.2222222222222222
Azacitidine,Cladribine,SF-268,-5.4444444444444455
Everolimus,Azacitidine,SK-MEL-28,-19.777777777777786
Thalidomide,Docetaxel,LOX IMVI,-6.666666666666668
Mitotane,Tretinoin,NCI-H460,1.1111111111111112
Nilotinib,Celecoxib,A549/ATCC,-4.111111111111111
Mitotane,Sirolimus,BT-549,-7.1111111111111125
Everolimus,Romidepsin,PC-3,-1.3333333333333333
Azacitidine,Sirolimus,SNB-75,0.3333333333333333
Fulvestrant,Dasatinib,786-0,-1.5555555555555556
Decitabine,Cladribine,SF-295,-4.111111111111111
Dasatinib,Sirolimus,DU-145,-1.5555555555555556
Mitotane,Nilotinib,SK-MEL-5,-9.888888888888893
Fulvestrant,Paclitaxel,OVCAR-8,-2.555555555555556
Mitotane,Azacitidine,SK-MEL-5,-8.555555555555555
Fulvestrant,Everolimus,DU-145,15.777777777777779
Romidepsin,Paclitaxel,UACC-257,3.111111111111111
Fulvestrant,Nilotinib,A549/ATCC,-2.7777777777777777
Azacitidine,Romidepsin,T-47D,-7.333333333333332
Zoledronic acid,Paclitaxel,LOX IMVI,6.0
Megestrol acetate,Lenalidomide,786-0,-5.222222222222221
Mitotane,Docetaxel,MDA-MB-231/ATCC,1.7777777777777777
Dasatinib,Tretinoin,RPMI-8226,-2.1111111111111107
Zoledronic acid,Everolimus,SNB-75,-0.6666666666666666
Everolimus,Vorinostat,IGROV1,1.1111111111111112
Vorinostat,Docetaxel,BT-549,-3.0
Tretinoin,Cladribine,MCF7,0.0
Imiquimod,Sirolimus,K-562,-5.222222222222221
Paclitaxel,Cladribine,NCI-H522,0.6666666666666666
Dasatinib,Romidepsin,T-47D,2.6666666666666665
Romidepsin,Nilotinib,RPMI-8226,-0.1111111111111111
Everolimus,Celecoxib,A549/ATCC,-0.1111111111111111
Fulvestrant,Celecoxib,OVCAR-3,-3.4444444444444446
Megestrol acetate,Lenalidomide,HS 578T,-8.333333333333334
Everolimus,Azacitidine,BT-549,-2.1111111111111107
Vorinostat,Cladribine,SNB-75,-2.555555555555556
Mitotane,Dasatinib,SR,-11.333333333333336
Thalidomide,Mitotane,OVCAR-8,-3.2222222222222223
Tretinoin,Cladribine,SK-MEL-5,-1.1111111111111112
Everolimus,Docetaxel,UACC-257,0.8888888888888888
Paclitaxel,Sirolimus,PC-3,5.5555555555555545
Mitotane,Tretinoin,KM12,-2.1111111111111107
Decitabine,Paclitaxel,SW-620,2.7777777777777777
Fulvestrant,Paclitaxel,HCT-116,-4.0
Thalidomide,Tretinoin,HCT-15,-6.888888888888888
Imiquimod,Mitotane,K-562,-7.1111111111111125
Mitotane,Cladribine,A498,0.4444444444444444
Decitabine,Tretinoin,OVCAR-4,-3.0
Mitotane,Cladribine,LOX IMVI,-5.4444444444444455
Zoledronic acid,Azacitidine,UACC-62,2.333333333333333
Fulvestrant,Tretinoin,OVCAR-3,1.7777777777777777
Everolimus,Dasatinib,T-47D,-7.555555555555554
Fulvestrant,Azacitidine,NCI-H460,-1.5555555555555556
Fulvestrant,Everolimus,LOX IMVI,15.888888888888893
Mitotane,Tretinoin,MDA-MB-231/ATCC,0.3333333333333333
Thalidomide,Sirolimus,MDA-MB-231/ATCC,1.2222222222222223
Mitotane,Everolimus,UACC-257,-5.5555555555555545
Fulvestrant,Tretinoin,SNB-75,-0.8888888888888888
Docetaxel,Paclitaxel,DU-145,9.777777777777779
Fulvestrant,Sirolimus,SK-MEL-5,-5.888888888888888
Mitotane,Dasatinib,SW-620,-0.6666666666666666
Paclitaxel,Celecoxib,DU-145,30.0
Zoledronic acid,Romidepsin,SK-MEL-2,-7.222222222222222
Docetaxel,Paclitaxel,T-47D,1.7777777777777777
Megestrol acetate,Gefitinib,MDA-MB-468,5.333333333333333
Zoledronic acid,Celecoxib,MDA-MB-231/ATCC,-2.0
Mitotane,Celecoxib,SK-MEL-5,-5.888888888888888
Imiquimod,Azacitidine,HCT-116,4.2222222222222205
Vorinostat,Tretinoin,MALME-3M,-1.4444444444444444
Imiquimod,Azacitidine,RPMI-8226,-0.4444444444444444
Decitabine,Tretinoin,CAKI-1,-0.6666666666666666
Imiquimod,Azacitidine,NCI-H522,-5.0
Azacitidine,Sirolimus,BT-549,-4.111111111111111
Romidepsin,Nilotinib,OVCAR-4,-10.444444444444443
Decitabine,Tretinoin,NCI-H23,-7.555555555555554
Mitotane,Azacitidine,A498,-1.7777777777777777
Fulvestrant,Paclitaxel,IGROV1,-1.8888888888888888
Everolimus,Paclitaxel,T-47D,-3.555555555555556
Paclitaxel,Tretinoin,NCI-H522,24.222222222222207
Fulvestrant,Tretinoin,A549/ATCC,7.333333333333332
Nilotinib,Mitotane,ACHN,-7.333333333333332
Thalidomide,Tretinoin,UACC-257,-0.6666666666666666
Zoledronic acid,Dasatinib,SK-MEL-2,-4.0
Fulvestrant,Tretinoin,MCF7,4.666666666666667
Azacitidine,Romidepsin,A498,0.4444444444444444
Dasatinib,Vorinostat,IGROV1,1.2222222222222223
Romidepsin,Nilotinib,DU-145,-11.333333333333336
Fulvestrant,Sirolimus,MCF7,-4.777777777777779
Mitotane,Sirolimus,HOP-92,-6.0
Mitotane,Cladribine,RPMI-8226,-0.4444444444444444
Thalidomide,Cladribine,OVCAR-3,-8.444444444444445
Zoledronic acid,Docetaxel,MALME-3M,4.4444444444444455
Zoledronic acid,Docetaxel,CAKI-1,11.444444444444445
Dasatinib,Tretinoin,SF-539,8.0
Imiquimod,Docetaxel,786-0,-6.1111111111111125
Zoledronic acid,Cladribine,MDA-MB-468,1.0
Everolimus,Nilotinib,K-562,-9.777777777777779
Zoledronic acid,Azacitidine,UACC-257,1.0
Sirolimus,Celecoxib,SNB-75,6.333333333333332
Everolimus,Sirolimus,DU-145,2.333333333333333
Docetaxel,Nilotinib,SK-MEL-28,-9.444444444444443
Decitabine,Mitotane,MCF7,0.4444444444444444
Azacitidine,Fulvestrant,SK-MEL-5,-5.5555555555555545
Zoledronic acid,Vorinostat,NCI-H23,-2.2222222222222223
Paclitaxel,Cladribine,SF-268,-7.555555555555554
Azacitidine,Celecoxib,KM12,10.555555555555557
Dasatinib,Tretinoin,IGROV1,6.666666666666668
Thalidomide,Mitotane,NCI-H23,-6.0
Zoledronic acid,Tretinoin,MDA-MB-468,1.5555555555555556
Imiquimod,Mitotane,LOX IMVI,-2.1111111111111107
Everolimus,Celecoxib,OVCAR-4,-1.5555555555555556
Dasatinib,Sirolimus,SW-620,0.6666666666666666
Mitotane,Everolimus,SF-295,-8.0
Romidepsin,Celecoxib,SF-539,1.4444444444444444
Sirolimus,Tretinoin,NCI-H522,-3.2222222222222223
Sirolimus,Mitotane,A498,0.8888888888888888
Mitotane,Tretinoin,U251,-3.4444444444444446
Thalidomide,Paclitaxel,HOP-92,0.7777777777777778
Nilotinib,Tretinoin,SW-620,-10.444444444444443
Thalidomide,Cladribine,HOP-92,-7.555555555555554
Everolimus,Cladribine,A549/ATCC,-2.4444444444444446
Sirolimus,Nilotinib,U251,0.2222222222222222
Fulvestrant,Vorinostat,SF-295,-0.7777777777777778
Dasatinib,Vorinostat,MDA-MB-231/ATCC,-6.777777777777778
Mitotane,Celecoxib,SF-539,-5.222222222222221
Zoledronic acid,Nilotinib,OVCAR-4,-6.777777777777778
Imiquimod,Sirolimus,SK-MEL-28,0.0
Azacitidine,Sirolimus,MALME-3M,-6.666666666666668
Decitabine,Tretinoin,SF-539,4.2222222222222205
Cladribine,Celecoxib,ACHN,0.2222222222222222
Vorinostat,Nilotinib,SNB-75,-3.888888888888889
Fulvestrant,Celecoxib,MCF7,5.666666666666668
Megestrol acetate,Lenalidomide,UACC-62,-0.1111111111111111
Sirolimus,Tretinoin,SNB-75,1.5555555555555556
Cladribine,Celecoxib,HOP-92,-9.888888888888893
Vorinostat,Paclitaxel,SK-MEL-5,-9.888888888888893
Zoledronic acid,Paclitaxel,SF-539,-7.888888888888887
Fulvestrant,Nilotinib,KM12,0.1111111111111111
Azacitidine,Fulvestrant,A549/ATCC,-3.888888888888889
Paclitaxel,Celecoxib,KM12,17.444444444444443
Vorinostat,Azacitidine,DU-145,-3.7777777777777777
Imiquimod,Sirolimus,A549/ATCC,1.6666666666666667
Fulvestrant,Azacitidine,SF-295,-1.8888888888888888
Zoledronic acid,Azacitidine,MCF7,-6.777777777777778
Vorinostat,Azacitidine,PC-3,0.5555555555555556
Docetaxel,Sirolimus,K-562,5.222222222222221
Megestrol acetate,Gefitinib,SF-295,-2.888888888888889
Vorinostat,Nilotinib,KM12,-2.6666666666666665
Everolimus,Romidepsin,MDA-MB-231/ATCC,4.333333333333333
Everolimus,Azacitidine,U251,-7.666666666666668
Docetaxel,Fulvestrant,MDA-MB-231/ATCC,7.888888888888887
Sirolimus,Cladribine,UACC-257,-4.2222222222222205
Romidepsin,Sirolimus,SNB-75,-0.2222222222222222
Dasatinib,Vorinostat,PC-3,-0.4444444444444444
Nilotinib,Cladribine,T-47D,-5.777777777777778
Fulvestrant,Everolimus,NCI-H460,7.333333333333332
Decitabine,Mitotane,LOX IMVI,-3.7777777777777777
Sirolimus,Cladribine,SK-OV-3,-2.555555555555556
Thalidomide,Cladribine,MDA-MB-231/ATCC,1.4444444444444444
Everolimus,Azacitidine,SNB-75,-4.333333333333333
Mitotane,Azacitidine,SW-620,5.333333333333333
Everolimus,Nilotinib,SW-620,-0.3333333333333333
Everolimus,Dasatinib,SNB-75,-7.333333333333332
Zoledronic acid,Dasatinib,SW-620,-0.6666666666666666
Docetaxel,Paclitaxel,UACC-257,4.333333333333333
Dasatinib,Azacitidine,SNB-75,-0.8888888888888888
Everolimus,Sirolimus,SF-268,-2.555555555555556
Zoledronic acid,Dasatinib,CAKI-1,-6.5555555555555545
Nilotinib,Cladribine,SF-268,-2.888888888888889
Imiquimod,Azacitidine,SF-539,-1.6666666666666667
Sirolimus,Nilotinib,ACHN,-5.333333333333333
Everolimus,Dasatinib,SF-268,-3.7777777777777777
Fulvestrant,Azacitidine,IGROV1,0.7777777777777778
Mitotane,Nilotinib,T-47D,-8.444444444444445
Zoledronic acid,Sirolimus,A549/ATCC,10.444444444444443
Decitabine,Azacitidine,SF-295,-1.4444444444444444
Zoledronic acid,Sirolimus,MCF7,-6.666666666666668
Nilotinib,Cladribine,SNB-75,-7.1111111111111125
Docetaxel,Paclitaxel,OVCAR-4,1.7777777777777777
Imiquimod,Tretinoin,HCT-15,-4.5555555555555545
Imiquimod,Azacitidine,IGROV1,-2.1111111111111107
Mitotane,Paclitaxel,OVCAR-3,-6.333333333333332
Azacitidine,Sirolimus,NCI-H460,7.666666666666668
Zoledronic acid,Dasatinib,K-562,6.333333333333332
Nilotinib,Cladribine,786-0,-14.222222222222221
Zoledronic acid,Azacitidine,LOX IMVI,-6.333333333333332
Fulvestrant,Azacitidine,MALME-3M,3.2222222222222223
Zoledronic acid,Cladribine,SK-MEL-28,-1.6666666666666667
Everolimus,Paclitaxel,SW-620,10.111111111111107
Vorinostat,Sirolimus,SNB-75,-9.555555555555557
Romidepsin,Sirolimus,NCI-H522,3.555555555555556
Everolimus,Celecoxib,MDA-MB-468,3.111111111111111
Vorinostat,Sirolimus,MALME-3M,1.7777777777777777
Mitotane,Tretinoin,SR,-4.111111111111111
Romidepsin,Tretinoin,OVCAR-8,-6.666666666666668
Sirolimus,Nilotinib,K-562,31.44444444444445
Thalidomide,Docetaxel,UACC-62,-2.333333333333333
Dasatinib,Vorinostat,SNB-75,-1.6666666666666667
Sirolimus,Mitotane,OVCAR-3,-7.666666666666668
Dasatinib,Tretinoin,NCI-H522,3.6666666666666665
Dasatinib,Sirolimus,UACC-257,-6.1111111111111125
Zoledronic acid,Sirolimus,OVCAR-4,-4.5555555555555545
Thalidomide,Paclitaxel,HS 578T,8.666666666666666
Fulvestrant,Vorinostat,SNB-75,-1.7777777777777777
